acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,country,zip
A000027,Account 000027,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91783.57,0,B02,US,10027
A000028,Account 000028,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,76993.83,2,B03,US,10028
A000029,Account 000029,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,98548.90,1,B04,US,10029
A000030,Account 000030,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,65028.32,3,B00,US,10030
A000031,Account 000031,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,97461.40,3,B01,US,10031
A000032,Account 000032,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57562.40,4,B02,US,10032
A000033,Account 000033,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,96092.96,3,B03,US,10033
A000034,Account 000034,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,61346.75,4,B04,US,10034
A000035,Account 000035,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51747.39,4,B00,US,10035
A000036,Account 000036,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,79540.94,5,B01,US,10036
A000037,Account 000037,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82436.25,3,B02,US,10037
A000038,Account 000038,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,86961.55,5,B03,US,10038
A000039,Account 000039,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84484.88,1,B04,US,10039
A000040,Account 000040,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,62312.37,3,B00,US,10040
A000041,Account 000041,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,61160.53,1,B01,US,10041
A000042,Account 000042,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,75918.38,0,B02,US,10042
A000043,Account 000043,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,65401.31,3,B03,US,10043
A000044,Account 000044,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,85832.92,0,B04,US,10044
A000045,Account 000045,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,53527.20,0,B00,US,10045
A000046,Account 000046,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,60615.04,4,B01,US,10046
A000047,Account 000047,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,69142.66,0,B02,US,10047
A000048,Account 000048,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,52654.56,4,B03,US,10048
A000049,Account 000049,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,54092.43,1,B04,US,10049
A000050,Account 000050,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,56145.05,5,B00,US,10050
A000051,Account 000051,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57375.98,0,B01,US,10051
A000052,Account 000052,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,74739.85,3,B02,US,10052
A000053,Account 000053,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,81812.75,2,B03,US,10053
A000054,Account 000054,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82843.91,3,B04,US,10054
A000055,Account 000055,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,94343.97,0,B00,US,10055
A000056,Account 000056,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,61671.16,1,B01,US,10056
A000057,Account 000057,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82275.31,3,B02,US,10057
A000058,Account 000058,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,52534.74,0,B03,US,10058
A000059,Account 000059,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,56126.83,5,B04,US,10059
A000060,Account 000060,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57217.02,5,B00,US,10060
A000061,Account 000061,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,92381.09,1,B01,US,10061
A000062,Account 000062,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,78575.38,5,B02,US,10062
A000063,Account 000063,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51450.48,5,B03,US,10063
A000064,Account 000064,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57894.77,3,B04,US,10064
A000065,Account 000065,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,90530.69,0,B00,US,10065
A000066,Account 000066,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,86154.90,4,B01,US,10066
A000067,Account 000067,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,72423.19,0,B02,US,10067
A000068,Account 000068,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,50723.07,1,B03,US,10068
A000069,Account 000069,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,50522.30,2,B04,US,10069
A000070,Account 000070,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91861.00,2,B00,US,10070
A000071,Account 000071,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,73113.75,2,B01,US,10071
A000072,Account 000072,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91460.04,2,B02,US,10072
A000073,Account 000073,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,95298.99,5,B03,US,10073
A000074,Account 000074,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80251.89,5,B04,US,10074
A000075,Account 000075,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,97716.57,2,B00,US,10075
A000076,Account 000076,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,88737.65,0,B01,US,10076
A000077,Account 000077,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,75510.38,2,B02,US,10077
A000078,Account 000078,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,74540.52,0,B03,US,10078
A000079,Account 000079,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,75292.40,5,B04,US,10079
A000080,Account 000080,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,68710.59,3,B00,US,10080
A000081,Account 000081,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,52123.46,1,B01,US,10081
A000082,Account 000082,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,65733.80,3,B02,US,10082
A000083,Account 000083,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,77397.17,0,B03,US,10083
A000084,Account 000084,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,95630.24,5,B04,US,10084
A000085,Account 000085,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,90229.68,2,B00,US,10085
A000086,Account 000086,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,71390.43,2,B01,US,10086
A000087,Account 000087,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,71062.20,4,B02,US,10087
A000088,Account 000088,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,87083.27,4,B03,US,10088
A000089,Account 000089,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91125.91,5,B04,US,10089
A000090,Account 000090,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,71531.35,4,B00,US,10090
A000091,Account 000091,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,76402.38,0,B01,US,10091
A000092,Account 000092,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84553.89,5,B02,US,10092
A000093,Account 000093,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,81564.50,5,B03,US,10093
A000094,Account 000094,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,56357.08,2,B04,US,10094
A000095,Account 000095,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,96902.08,5,B00,US,10095
A000096,Account 000096,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80906.12,5,B01,US,10096
A000097,Account 000097,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,59515.37,2,B02,US,10097
A000098,Account 000098,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,54104.79,2,B03,US,10098
A000099,Account 000099,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84533.61,4,B04,US,10099
A000100,Account 000100,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,72860.37,3,B00,US,10100
A000101,Account 000101,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91694.77,1,B01,US,10101
A000102,Account 000102,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,89421.94,1,B02,US,10102
A000103,Account 000103,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,63753.26,4,B03,US,10103
A000104,Account 000104,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82726.40,2,B04,US,10104
A000105,Account 000105,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,53343.63,2,B00,US,10105
A000106,Account 000106,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,61603.94,0,B01,US,10106
A000107,Account 000107,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,67536.07,4,B02,US,10107
A000108,Account 000108,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,94916.38,1,B03,US,10108
A000109,Account 000109,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,98994.43,4,B04,US,10109
A000110,Account 000110,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,85321.48,5,B00,US,10110
A000111,Account 000111,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,69054.42,1,B01,US,10111
A000112,Account 000112,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51004.85,5,B02,US,10112
A000113,Account 000113,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,87175.28,3,B03,US,10113
A000114,Account 000114,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,87122.79,1,B04,US,10114
A000115,Account 000115,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,73861.51,1,B00,US,10115
A000116,Account 000116,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,83531.43,1,B01,US,10116
A000117,Account 000117,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,87549.10,2,B02,US,10117
A000118,Account 000118,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,70615.82,3,B03,US,10118
A000119,Account 000119,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,88595.95,4,B04,US,10119
A000120,Account 000120,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,97396.60,4,B00,US,10120
A000121,Account 000121,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84384.35,1,B01,US,10121
A000122,Account 000122,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,93995.11,0,B02,US,10122
A000123,Account 000123,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,98928.23,2,B03,US,10123
A000124,Account 000124,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57214.85,2,B04,US,10124
A000125,Account 000125,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,78684.85,1,B00,US,10125
A000126,Account 000126,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,96621.16,3,B01,US,10126
A000127,Account 000127,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,64889.56,3,B02,US,10127
A000128,Account 000128,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,65709.32,0,B03,US,10128
A000129,Account 000129,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,72550.40,1,B04,US,10129
A000130,Account 000130,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91523.13,2,B00,US,10130
A000131,Account 000131,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,69636.15,0,B01,US,10131
A000132,Account 000132,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,76800.96,4,B02,US,10132
A000133,Account 000133,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,50844.39,1,B03,US,10133
A000134,Account 000134,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,71844.20,3,B04,US,10134
A000135,Account 000135,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,75891.57,5,B00,US,10135
A000136,Account 000136,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,66310.15,5,B01,US,10136
A000137,Account 000137,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,56101.05,0,B02,US,10137
A000138,Account 000138,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,70212.49,4,B03,US,10138
A000139,Account 000139,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,64834.08,0,B04,US,10139
A000140,Account 000140,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,63211.96,0,B00,US,10140
A000141,Account 000141,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,55341.15,2,B01,US,10141
A000142,Account 000142,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,81884.39,5,B02,US,10142
A000143,Account 000143,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,63000.76,3,B03,US,10143
A000144,Account 000144,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57940.44,1,B04,US,10144
A000145,Account 000145,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,60466.60,0,B00,US,10145
A000146,Account 000146,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80829.70,3,B01,US,10146
A000147,Account 000147,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,93773.39,0,B02,US,10147
A000148,Account 000148,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80017.14,5,B03,US,10148
A000149,Account 000149,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,98706.16,1,B04,US,10149
A000150,Account 000150,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,52897.86,1,B00,US,10150
A000151,Account 000151,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,62537.50,5,B01,US,10151
A000152,Account 000152,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,63130.09,3,B02,US,10152
A000153,Account 000153,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57894.24,0,B03,US,10153
A000154,Account 000154,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,87545.81,5,B04,US,10154
A000155,Account 000155,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80412.30,2,B00,US,10155
A000156,Account 000156,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51003.85,3,B01,US,10156
A000157,Account 000157,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,53727.68,2,B02,US,10157
A000158,Account 000158,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,79256.19,0,B03,US,10158
A000159,Account 000159,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82482.28,2,B04,US,10159
A000160,Account 000160,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,90130.12,0,B00,US,10160
A000161,Account 000161,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,97633.34,3,B01,US,10161
A000162,Account 000162,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,86880.16,0,B02,US,10162
A000163,Account 000163,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,74487.49,5,B03,US,10163
A000164,Account 000164,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,54092.01,2,B04,US,10164
A000165,Account 000165,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,55295.78,1,B00,US,10165
A000166,Account 000166,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84328.05,5,B01,US,10166
A000167,Account 000167,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,70506.14,0,B02,US,10167
A000168,Account 000168,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80947.31,0,B03,US,10168
A000169,Account 000169,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,88688.02,5,B04,US,10169
A000170,Account 000170,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,78252.19,3,B00,US,10170
A000171,Account 000171,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82438.63,5,B01,US,10171
A000172,Account 000172,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,50765.01,4,B02,US,10172
A000173,Account 000173,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,94139.90,2,B03,US,10173
A000174,Account 000174,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,66595.49,2,B04,US,10174
A000175,Account 000175,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,70419.83,5,B00,US,10175
A000176,Account 000176,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,61729.38,5,B01,US,10176
A000177,Account 000177,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,57664.68,0,B02,US,10177
A000178,Account 000178,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,59342.52,1,B03,US,10178
A000179,Account 000179,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84678.69,4,B04,US,10179
A000180,Account 000180,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,85005.64,0,B00,US,10180
A000181,Account 000181,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,62002.41,1,B01,US,10181
A000182,Account 000182,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,97859.84,1,B02,US,10182
A000183,Account 000183,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,56072.86,3,B03,US,10183
A000184,Account 000184,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,96044.27,2,B04,US,10184
A000185,Account 000185,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,59895.06,2,B00,US,10185
A000186,Account 000186,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,55046.35,2,B01,US,10186
A000187,Account 000187,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,53583.12,0,B02,US,10187
A000188,Account 000188,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,58736.54,3,B03,US,10188
A000189,Account 000189,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,83491.24,3,B04,US,10189
A000190,Account 000190,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,88414.76,5,B00,US,10190
A000191,Account 000191,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,77166.70,3,B01,US,10191
A000192,Account 000192,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,58408.97,3,B02,US,10192
A000193,Account 000193,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,69991.17,0,B03,US,10193
A000194,Account 000194,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,94831.92,3,B04,US,10194
A000195,Account 000195,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,53095.20,4,B00,US,10195
A000196,Account 000196,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,56735.69,3,B01,US,10196
A000197,Account 000197,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,54321.16,1,B02,US,10197
A000198,Account 000198,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,91585.19,3,B03,US,10198
A000199,Account 000199,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,58811.91,1,B04,US,10199
A000200,Account 000200,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,66942.21,4,B00,US,10200
A000201,Account 000201,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,85279.51,1,B01,US,10201
A000202,Account 000202,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84293.34,2,B02,US,10202
